Date,Open,High,Low,Close,Adj Close,Volume
2012-09-18,31.450001,31.570000,31.334999,31.514999,30.323483,9576800
2012-09-19,31.559999,31.730000,31.400000,31.514999,30.323483,8996600
2012-09-20,31.215000,31.559999,31.065001,31.530001,30.337915,11288800
2012-09-21,31.855000,31.855000,31.480000,31.480000,30.289803,9909000
2012-09-24,31.190001,31.549999,31.139999,31.375000,30.188772,8816400
2012-09-25,31.485001,31.590000,30.660000,30.735001,29.628687,13397000
2012-09-26,30.665001,30.680000,30.184999,30.334999,29.243090,12705200
2012-09-27,30.590000,31.035000,30.420000,30.915001,29.802212,8185400
2012-09-28,30.655001,30.860001,30.400000,30.610001,29.508186,10926400
2012-10-01,30.855000,31.344999,30.635000,30.780001,29.672073,34671400
2012-10-02,31.025000,31.115000,30.549999,30.830000,29.720274,13145600
2012-10-03,30.995001,31.230000,30.674999,31.080000,29.961269,9660200
2012-10-04,31.315001,31.615000,31.235001,31.570000,30.433630,8734200
2012-10-05,31.875000,31.969999,31.350000,31.530001,30.395071,9292400
2012-10-08,31.295000,31.420000,31.174999,31.309999,30.182993,5046400
2012-10-09,31.254999,31.315001,30.674999,30.715000,29.609407,11779200
2012-10-10,30.690001,30.740000,30.225000,30.325001,29.233446,11128600
2012-10-11,30.719999,30.809999,30.334999,30.334999,29.243090,8677600
2012-10-12,30.379999,30.575001,30.004999,30.139999,29.055103,7872600
2012-10-15,30.290001,30.690001,30.080000,30.610001,29.508186,9701600
2012-10-16,30.905001,31.295000,30.879999,31.235001,30.110689,9658200
2012-10-17,31.295000,31.584999,31.195000,31.545000,30.409538,9599400
2012-10-18,31.370001,31.670000,31.160000,31.395000,30.264935,15207000
2012-10-19,31.245001,31.250000,30.180000,30.315001,29.223808,21162800
2012-10-22,30.225000,30.440001,29.850000,30.330000,29.238268,16646400
2012-10-23,29.680000,29.754999,29.235001,29.485001,28.423681,22538600
2012-10-24,29.690001,29.770000,29.225000,29.334999,28.279081,11922000
2012-10-25,29.730000,29.844999,29.139999,29.469999,28.409220,14141800
2012-10-26,29.430000,29.655001,29.049999,29.434999,28.375484,12012200
2012-10-31,29.660000,29.730000,29.170000,29.340000,28.283903,12030800
2012-11-01,29.580000,30.135000,29.525000,30.065001,28.982807,31052600
2012-11-02,30.410000,30.445000,29.459999,29.514999,28.452600,14012800
2012-11-05,29.424999,29.764999,29.260000,29.639999,28.573105,9399800
2012-11-06,29.820000,30.334999,29.760000,30.080000,28.997267,10208600
2012-11-07,29.565001,29.565001,28.459999,28.754999,27.719954,21569400
2012-11-08,28.730000,29.020000,28.014999,28.025000,27.016233,16149800
2012-11-09,27.875000,28.610001,27.850000,28.080000,27.069260,17096000
2012-11-12,28.275000,28.360001,28.010000,28.125000,27.112633,6553400
2012-11-13,27.830000,28.540001,27.764999,27.950001,26.943939,10795400
2012-11-14,28.120001,28.205000,27.065001,27.190001,26.211292,25529600
2012-11-15,27.209999,27.405001,26.879999,27.084999,26.110071,17290000
2012-11-16,27.170000,27.465000,26.690001,27.325001,26.341429,19693600
2012-11-19,27.990000,28.469999,27.950001,28.434999,27.411476,12308600
2012-11-20,28.360001,28.580000,28.040001,28.504999,27.478960,9275600
2012-11-21,28.535000,28.645000,28.424999,28.605000,27.575359,9167200
2012-11-23,28.879999,29.385000,28.840000,29.365000,28.308004,6571200
2012-11-26,29.080000,29.285000,28.885000,29.280001,28.226065,11141800
2012-11-27,29.190001,29.379999,28.905001,29.000000,27.956141,13986600
2012-11-28,28.700001,29.445000,28.395000,29.385000,28.327282,19273200
2012-11-29,29.635000,29.850000,29.375000,29.700001,28.630945,20736600
2012-11-30,29.695000,29.805000,29.495001,29.615000,28.549007,13512400
2012-12-03,29.985001,30.020000,29.355000,29.385000,28.327282,15135400
2012-12-04,29.400000,29.570000,29.150000,29.299999,28.245340,18050200
2012-12-05,29.370001,29.690001,28.945000,29.424999,28.365839,21096600
2012-12-06,29.360001,29.639999,29.275000,29.584999,28.520079,17077000
2012-12-07,29.855000,29.920000,29.490000,29.805000,28.732166,20513000
2012-12-10,29.715000,29.965000,29.690001,29.825001,28.751446,13973600
2012-12-11,30.075001,30.510000,30.040001,30.219999,29.132227,17272200
2012-12-12,30.455000,30.695000,30.180000,30.250000,29.161148,20584400
2012-12-13,30.230000,30.395000,29.735001,29.920000,28.843025,19000400
2012-12-14,29.745001,29.870001,29.570000,29.670000,28.602022,14185400
2012-12-17,29.820000,30.389999,29.805000,30.350000,29.257545,16410200
2012-12-18,30.455000,31.110001,30.370001,31.049999,29.932356,17121800
2012-12-19,31.125000,31.129999,30.559999,30.565001,29.464809,15353400
2012-12-20,30.615000,30.940001,30.455000,30.930000,29.816671,10846400
2012-12-21,30.090000,30.500000,30.000000,30.360001,29.267187,25370200
2012-12-24,30.240000,30.264999,30.110001,30.170000,29.084024,4122400
2012-12-26,30.260000,30.275000,29.690001,29.834999,28.814568,10627200
2012-12-27,29.885000,30.004999,29.084999,29.809999,28.790421,18337200
2012-12-28,29.405001,29.715000,29.080000,29.150000,28.152998,14353400
2012-12-31,28.995001,30.184999,28.934999,30.174999,29.142939,29567000
2013-01-02,31.260000,31.674999,31.100000,31.645000,30.562664,13855200
